date,time,s-ip,cs-method,cs-uri-stem,cs-uri-query,s-port,cs-username,c-ip,cs(User-Agent),sc-status,sc-substatus,sc-win32-status
2017-07-01,21:08:20,10.0.0.1,POST,/help.html,-,80,-,16.231.178.36,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1061.1 Safari/536.3",200,0,0
2017-07-01,17:43:49,10.0.0.2,GET,/products.html,-,80,-,217.6.212.37,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.24 Safari/535.1",200,0,0
2017-07-01,18:17:31,10.0.0.1,POST,/products.html,-,80,-,13.73.110.233,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Ubuntu/11.04 Chromium/15.0.871.0 Chrome/15.0.871.0 Safari/535.2",200,0,0
2017-07-01,2:21:41,10.0.0.2,POST,/help.html,-,80,-,133.220.73.231,Mozilla/5.0 (Windows NT 6.1; rv:12.0) Gecko/ 20120405 Firefox/14.0.1,200,0,0
2017-07-01,7:42:24,10.0.0.2,POST,/login.html,-,80,-,200.13.37.121,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.36 Safari/536.5",200,0,0
2017-07-01,15:27:48,10.0.0.1,POST,/index.html,-,80,-,89.17.30.245,"Mozilla/5.0 (X11; CrOS i686 2268.111.0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11",200,0,0
2017-07-01,5:57:43,10.0.0.2,GET,/login.html,-,80,-,175.78.56.45,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36",200,0,0
2017-07-01,21:09:19,10.0.0.1,GET,/login.html,-,80,-,210.13.37.33,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1063.0 Safari/536.3",200,0,0
2017-07-01,6:34:20,10.0.0.1,GET,/index.html,-,80,-,27.168.101.94,Mozilla/5.0 (X11; Ubuntu; Linux armv7l; rv:17.0) Gecko/20100101 Firefox/17.0,200,0,0
2017-07-01,13:27:07,10.0.0.1,POST,/help.html,-,80,-,223.138.75.46,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:6.0a2) Gecko/20110613 Firefox/6.0a2,200,0,0
2017-07-01,6:51:18,10.0.0.1,GET,/help.html,-,80,-,238.61.28.136,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20130331 Firefox/21.0,200,0,0
2017-07-01,10:58:27,10.0.0.1,POST,/index.html,-,80,-,200.13.37.32,"Mozilla/5.0 (X11; U; Linux armv7l; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.204 Safari/534.16",200,0,0
